time (ms),Δθ (π),σ_θ (π)
37.725,-1.883,2.447e-03
37.925,-1.893,2.446e-03
38.125,-1.903,2.460e-03
38.325,-1.913,2.439e-03
38.524,-1.923,2.458e-03
38.724,-1.933,2.449e-03
38.924,-1.943,2.445e-03
39.124,-1.953,2.461e-03
39.324,-1.963,2.439e-03
39.524,-1.973,2.457e-03
39.724,-1.983,2.451e-03
39.923,-1.992,2.443e-03
40.123,-0.003,2.461e-03
40.323,-0.013,2.440e-03
40.523,-0.022,2.456e-03
40.723,-0.032,2.452e-03
40.923,-0.043,2.442e-03
41.123,-0.052,2.461e-03
41.323,-0.062,2.441e-03
41.522,-0.072,2.454e-03
41.722,-0.082,2.454e-03
41.922,-0.092,2.441e-03
42.122,-0.102,2.461e-03
42.322,-0.112,2.442e-03
42.522,-0.122,2.452e-03
42.722,-0.132,2.456e-03
42.921,-0.142,2.440e-03
43.121,-0.152,2.461e-03
43.321,-0.162,2.443e-03
43.521,-0.172,2.451e-03
43.721,-0.182,2.457e-03
43.921,-0.192,2.439e-03
44.121,-0.202,2.461e-03
44.321,-0.212,2.445e-03
44.520,-0.222,2.449e-03
44.720,-0.232,2.458e-03
44.920,-0.242,2.439e-03
45.120,-0.252,2.460e-03
45.320,-0.262,2.446e-03
45.520,-0.272,2.447e-03
45.720,-0.282,2.459e-03
45.919,-0.292,2.439e-03
46.119,-0.302,2.459e-03
46.319,-0.312,2.448e-03
46.519,-0.322,2.445e-03
46.719,-0.332,2.460e-03
46.919,-0.342,2.439e-03
47.119,-0.352,2.458e-03
47.319,-0.362,2.450e-03
47.518,-0.372,2.444e-03
47.718,-0.382,2.461e-03
47.918,-0.392,2.440e-03
48.118,-0.402,2.456e-03
48.318,-0.412,2.451e-03
48.518,-0.422,2.443e-03
48.718,-0.432,2.461e-03
48.917,-0.442,2.440e-03
49.117,-0.452,2.455e-03
49.317,-0.462,2.453e-03
49.517,-0.472,2.441e-03
49.717,-0.482,2.462e-03
49.917,-0.492,2.441e-03
50.117,-0.502,2.453e-03
50.317,-0.512,2.455e-03
50.516,-0.522,2.440e-03
50.716,-0.532,2.461e-03
50.916,-0.542,2.442e-03
51.116,-0.552,2.451e-03
51.316,-0.562,2.456e-03
51.516,-0.572,2.440e-03
51.716,-0.582,2.461e-03
51.916,-0.592,2.444e-03
52.115,-0.602,2.450e-03
52.315,-0.612,2.458e-03
52.515,-0.622,2.439e-03
52.715,-0.632,2.460e-03
52.915,-0.642,2.445e-03
53.115,-0.652,2.448e-03
53.315,-0.662,2.459e-03
53.514,-0.672,2.439e-03
53.714,-0.682,2.460e-03
53.914,-0.692,2.447e-03
54.114,-0.702,2.446e-03
54.314,-0.712,2.460e-03
54.514,-0.722,2.439e-03
54.714,-0.732,2.458e-03
54.914,-0.742,2.449e-03
55.113,-0.752,2.445e-03
55.313,-0.762,2.461e-03
55.513,-0.772,2.439e-03
55.713,-0.782,2.457e-03
55.913,-0.792,2.450e-03
56.113,-0.802,2.443e-03
56.313,-0.812,2.461e-03
56.512,-0.822,2.440e-03
56.712,-0.832,2.456e-03
56.912,-0.842,2.452e-03
57.112,-0.852,2.442e-03
57.312,-0.862,2.461e-03
57.512,-0.872,2.441e-03
57.712,-0.882,2.454e-03
57.912,-0.892,2.454e-03
58.111,-0.902,2.441e-03
58.311,-0.912,2.461e-03
58.511,-0.922,2.442e-03
58.711,-0.932,2.452e-03
58.911,-0.942,2.455e-03
59.111,-0.952,2.440e-03
59.311,-0.962,2.461e-03
59.510,-0.972,2.443e-03
59.710,-0.982,2.451e-03
59.910,-0.992,2.457e-03
60.110,-1.002,2.439e-03
60.310,-1.012,2.461e-03
60.510,-1.022,2.444e-03
60.710,-1.032,2.449e-03
60.910,-1.042,2.458e-03
61.109,-1.052,2.439e-03
61.309,-1.062,2.460e-03
61.509,-1.072,2.446e-03
61.709,-1.082,2.447e-03
61.909,-1.092,2.459e-03
62.109,-1.102,2.439e-03
62.309,-1.112,2.459e-03
62.508,-1.122,2.448e-03
62.708,-1.132,2.446e-03
62.908,-1.142,2.460e-03
63.108,-1.152,2.439e-03
63.308,-1.162,2.458e-03
63.508,-1.172,2.449e-03
63.708,-1.182,2.444e-03
63.908,-1.192,2.461e-03
64.107,-1.202,2.440e-03
64.307,-1.212,2.457e-03
64.507,-1.222,2.451e-03
64.707,-1.232,2.443e-03
64.907,-1.242,2.461e-03
65.107,-1.252,2.440e-03
65.307,-1.262,2.455e-03
65.506,-1.272,2.453e-03
65.706,-1.282,2.442e-03
65.906,-1.292,2.461e-03
66.106,-1.302,2.441e-03
66.306,-1.312,2.453e-03
66.506,-1.322,2.454e-03
66.706,-1.332,2.441e-03
66.906,-1.342,2.461e-03
67.105,-1.352,2.442e-03
67.305,-1.362,2.452e-03
67.505,-1.372,2.456e-03
67.705,-1.382,2.440e-03
67.905,-1.392,2.461e-03
68.105,-1.402,2.444e-03
68.305,-1.412,2.450e-03
68.504,-1.422,2.457e-03
68.704,-1.432,2.439e-03
68.904,-1.441,2.460e-03
69.104,-1.452,2.445e-03
69.304,-1.462,2.448e-03
69.504,-1.471,2.459e-03
69.704,-1.481,2.439e-03
69.904,-1.492,2.460e-03
70.103,-1.501,2.447e-03
70.303,-1.511,2.447e-03
70.503,-1.522,2.460e-03
70.703,-1.531,2.439e-03
70.903,-1.541,2.459e-03
71.103,-1.551,2.448e-03
71.303,-1.561,2.445e-03
71.502,-1.571,2.461e-03
71.702,-1.581,2.439e-03
71.902,-1.591,2.457e-03
72.102,-1.601,2.450e-03
72.302,-1.611,2.444e-03
72.502,-1.621,2.461e-03
72.702,-1.631,2.440e-03
72.902,-1.641,2.456e-03
73.101,-1.651,2.452e-03
73.301,-1.661,2.442e-03
73.501,-1.671,2.461e-03
73.701,-1.681,2.441e-03
73.901,-1.691,2.454e-03
74.101,-1.701,2.454e-03
74.301,-1.711,2.441e-03
74.500,-1.721,2.461e-03
74.700,-1.731,2.442e-03
74.900,-1.741,2.453e-03
75.100,-1.751,2.455e-03
75.300,-1.761,2.440e-03
75.500,-1.771,2.461e-03
75.700,-1.781,2.443e-03
75.900,-1.791,2.451e-03
76.099,-1.801,2.457e-03
76.299,-1.811,2.440e-03
76.499,-1.821,2.461e-03
76.699,-1.831,2.444e-03
76.899,-1.841,2.449e-03
