time (ms),Δθ (π),σ_θ (π)
37.726,-1.884,3.248e-03
37.925,-1.888,2.405e-03
38.125,-1.904,2.647e-03
38.325,-1.916,3.147e-03
38.525,-1.919,2.028e-03
38.725,-1.931,3.234e-03
38.925,-1.947,2.498e-03
39.125,-1.951,2.574e-03
39.325,-1.959,3.210e-03
39.524,-1.977,2.029e-03
39.724,-1.983,3.211e-03
39.924,-1.988,2.595e-03
40.124,-0.005,2.500e-03
40.324,-0.016,3.266e-03
40.524,-0.018,2.046e-03
40.724,-0.032,3.179e-03
40.923,-0.047,2.694e-03
41.123,-0.050,2.427e-03
41.323,-0.059,3.313e-03
41.523,-0.077,2.078e-03
41.723,-0.083,3.138e-03
41.923,-0.088,2.793e-03
42.123,-0.105,2.357e-03
42.323,-0.115,3.351e-03
42.522,-0.118,2.126e-03
42.722,-0.133,3.089e-03
42.922,-0.147,2.891e-03
43.122,-0.149,2.292e-03
43.322,-0.160,3.380e-03
43.522,-0.177,2.188e-03
43.722,-0.182,3.033e-03
43.922,-0.188,2.985e-03
44.121,-0.206,2.236e-03
44.321,-0.214,3.400e-03
44.521,-0.218,2.263e-03
44.721,-0.233,2.971e-03
44.921,-0.246,3.075e-03
45.121,-0.249,2.189e-03
45.321,-0.260,3.409e-03
45.520,-0.277,2.347e-03
45.720,-0.281,2.903e-03
45.920,-0.288,3.159e-03
46.120,-0.306,2.155e-03
46.320,-0.314,3.408e-03
46.520,-0.318,2.440e-03
46.720,-0.334,2.831e-03
46.920,-0.346,3.237e-03
47.119,-0.348,2.135e-03
47.319,-0.361,3.398e-03
47.519,-0.377,2.538e-03
47.719,-0.380,2.757e-03
47.919,-0.389,3.307e-03
48.119,-0.406,2.130e-03
48.319,-0.413,3.378e-03
48.519,-0.418,2.640e-03
48.718,-0.434,2.682e-03
48.918,-0.445,3.369e-03
49.118,-0.448,2.142e-03
49.318,-0.462,3.349e-03
49.518,-0.477,2.744e-03
49.718,-0.480,2.608e-03
49.918,-0.489,3.422e-03
50.117,-0.506,2.170e-03
50.317,-0.512,3.311e-03
50.517,-0.518,2.848e-03
50.717,-0.535,2.536e-03
50.917,-0.545,3.466e-03
51.117,-0.548,2.214e-03
51.317,-0.562,3.265e-03
51.517,-0.576,2.950e-03
51.716,-0.579,2.470e-03
51.916,-0.590,3.500e-03
52.116,-0.606,2.272e-03
52.316,-0.612,3.212e-03
52.516,-0.618,3.049e-03
52.716,-0.635,2.411e-03
52.916,-0.644,3.524e-03
53.116,-0.648,2.343e-03
53.315,-0.663,3.152e-03
53.515,-0.676,3.143e-03
53.715,-0.679,2.362e-03
53.915,-0.690,3.538e-03
54.115,-0.706,2.425e-03
54.315,-0.711,3.087e-03
54.515,-0.718,3.232e-03
54.715,-0.735,2.325e-03
54.914,-0.743,3.542e-03
55.114,-0.748,2.515e-03
55.314,-0.763,3.018e-03
55.514,-0.775,3.314e-03
55.714,-0.778,2.300e-03
55.914,-0.791,3.536e-03
56.114,-0.806,2.612e-03
56.313,-0.810,2.947e-03
56.513,-0.819,3.388e-03
56.713,-0.836,2.291e-03
56.913,-0.843,3.521e-03
57.113,-0.848,2.712e-03
57.313,-0.864,2.874e-03
