time (ms),Δθ (π),σ_θ (π)
171.439,-0.566,4.058e-03
171.638,-0.579,4.208e-03
171.838,-0.589,4.031e-03
172.038,-0.597,4.164e-03
172.238,-0.608,4.133e-03
172.438,-0.620,4.052e-03
172.638,-0.627,4.214e-03
172.838,-0.637,4.039e-03
173.038,-0.650,4.157e-03
173.237,-0.658,4.149e-03
173.437,-0.666,4.047e-03
173.637,-0.679,4.219e-03
173.837,-0.689,4.050e-03
174.037,-0.696,4.149e-03
174.237,-0.708,4.165e-03
174.437,-0.720,4.042e-03
174.636,-0.727,4.222e-03
174.836,-0.737,4.061e-03
175.036,-0.750,4.140e-03
175.236,-0.758,4.180e-03
175.436,-0.767,4.040e-03
175.636,-0.779,4.224e-03
175.836,-0.789,4.074e-03
176.036,-0.796,4.130e-03
176.235,-0.808,4.195e-03
176.435,-0.819,4.038e-03
176.635,-0.827,4.224e-03
176.835,-0.837,4.088e-03
177.035,-0.850,4.120e-03
177.235,-0.857,4.208e-03
177.435,-0.867,4.038e-03
177.635,-0.879,4.222e-03
177.834,-0.888,4.104e-03
178.034,-0.896,4.110e-03
178.234,-0.909,4.221e-03
178.434,-0.919,4.040e-03
178.634,-0.926,4.218e-03
178.834,-0.938,4.120e-03
179.034,-0.950,4.100e-03
179.234,-0.957,4.232e-03
179.433,-0.967,4.043e-03
179.633,-0.979,4.213e-03
179.833,-0.988,4.136e-03
180.033,-0.996,4.090e-03
180.233,-1.009,4.242e-03
180.433,-1.019,4.048e-03
180.633,-1.026,4.206e-03
180.832,-1.038,4.154e-03
181.032,-1.049,4.081e-03
181.232,-1.057,4.250e-03
181.432,-1.067,4.056e-03
181.632,-1.079,4.197e-03
181.832,-1.088,4.171e-03
182.032,-1.096,4.073e-03
182.232,-1.109,4.257e-03
182.431,-1.119,4.065e-03
182.631,-1.126,4.187e-03
182.831,-1.138,4.189e-03
183.031,-1.149,4.065e-03
183.231,-1.157,4.261e-03
183.431,-1.167,4.076e-03
183.631,-1.179,4.176e-03
183.831,-1.187,4.206e-03
184.030,-1.196,4.059e-03
184.230,-1.209,4.263e-03
184.430,-1.218,4.089e-03
184.630,-1.226,4.164e-03
184.830,-1.238,4.223e-03
185.030,-1.249,4.055e-03
185.230,-1.256,4.263e-03
185.429,-1.267,4.103e-03
185.629,-1.279,4.151e-03
185.829,-1.287,4.239e-03
186.029,-1.297,4.052e-03
186.229,-1.309,4.261e-03
186.429,-1.318,4.120e-03
186.629,-1.326,4.138e-03
186.829,-1.338,4.253e-03
187.028,-1.349,4.052e-03
187.228,-1.356,4.256e-03
187.428,-1.368,4.137e-03
187.628,-1.379,4.124e-03
187.828,-1.387,4.266e-03
188.028,-1.397,4.054e-03
188.228,-1.409,4.250e-03
188.428,-1.418,4.156e-03
188.627,-1.426,4.111e-03
188.827,-1.439,4.278e-03
189.027,-1.448,4.058e-03
189.227,-1.456,4.241e-03
189.427,-1.468,4.175e-03
189.627,-1.479,4.099e-03
189.827,-1.487,4.287e-03
190.026,-1.497,4.065e-03
190.226,-1.509,4.230e-03
190.426,-1.517,4.195e-03
190.626,-1.526,4.087e-03
190.826,-1.539,4.294e-03
191.026,-1.548,4.074e-03
191.226,-1.556,4.218e-03
191.426,-1.568,4.215e-03
191.625,-1.579,4.077e-03
191.825,-1.586,4.299e-03
192.025,-1.597,4.086e-03
192.225,-1.609,4.203e-03
192.425,-1.617,4.235e-03
192.625,-1.626,4.068e-03
192.825,-1.639,4.301e-03
193.025,-1.648,4.100e-03
193.224,-1.656,4.188e-03
193.424,-1.668,4.254e-03
193.624,-1.679,4.061e-03
193.824,-1.686,4.300e-03
194.024,-1.697,4.117e-03
194.224,-1.709,4.172e-03
194.424,-1.717,4.272e-03
194.623,-1.726,4.057e-03
194.823,-1.739,4.297e-03
195.023,-1.748,4.135e-03
195.223,-1.756,4.155e-03
195.423,-1.768,4.288e-03
195.623,-1.778,4.056e-03
195.823,-1.786,4.291e-03
196.023,-1.797,4.155e-03
196.222,-1.809,4.138e-03
196.422,-1.816,4.303e-03
196.622,-1.827,4.057e-03
196.822,-1.839,4.282e-03
197.022,-1.847,4.176e-03
197.222,-1.856,4.121e-03
197.422,-1.868,4.315e-03
197.622,-1.878,4.062e-03
197.821,-1.886,4.270e-03
198.021,-1.898,4.199e-03
198.221,-1.909,4.105e-03
198.421,-1.916,4.325e-03
198.621,-1.927,4.069e-03
198.821,-1.939,4.256e-03
199.021,-1.947,4.221e-03
199.221,-1.956,4.090e-03
199.420,-1.968,4.333e-03
199.620,-1.978,4.080e-03
199.820,-1.986,4.240e-03
200.001,-1.997,4.196e-03
200.017,-1.997,4.236e-03
200.031,-1.998,4.272e-03
200.047,-1.999,4.301e-03
200.061,-2.000,4.323e-03
200.077,-2.001,4.334e-03
200.091,-2.002,4.334e-03
200.107,-2.003,4.324e-03
200.121,-2.003,4.303e-03
200.137,-2.004,4.274e-03
200.150,-2.005,4.242e-03
