Ω (rad/s),|c₋|²
0.000000,-0.000000
0.007854,0.047147
0.015708,0.179696
0.023562,0.372650
0.031416,0.589621
0.039270,0.789690
0.047124,0.935128
0.054978,0.998506
0.062832,0.967873
0.070686,0.849005
0.078540,0.664319
0.086394,0.448645
0.094248,0.242656
0.102102,0.085198
0.109956,0.005967
0.117810,0.019904
0.125664,0.124381
0.133518,0.299694
0.141372,0.512783
0.149226,0.723461
0.157080,0.891997
0.164934,0.986608
0.172787,0.989451
0.180641,0.899989
0.188495,0.735095
0.196349,0.525865
0.204203,0.311758
0.212057,0.133150
0.219911,0.023725
0.227765,0.004120
0.235619,0.078031
0.243473,0.231520
0.251327,0.435641
0.259181,0.651899
0.267035,0.839511
0.274889,0.963095
0.282743,0.999346
0.290597,0.941427
0.298451,0.800261
0.306305,0.602469
0.314159,0.385353
0.322013,0.189858
0.329867,0.052851
0.337721,0.000171
0.345575,0.041753
0.353429,0.169753
0.361283,0.360034
0.369137,0.576711
0.376991,0.778921
0.384845,0.928530
0.392699,0.997324
0.400553,0.972329
0.408407,0.858259
0.416261,0.676626
0.424115,0.461684
0.431969,0.253968
0.439823,0.092650
0.447677,0.008153
0.455531,0.016412
0.463385,0.115869
0.471239,0.287769
0.479093,0.499692
0.486947,0.711674
0.494801,0.883736
0.502654,0.983431
0.510508,0.991958
0.518362,0.907707
0.526216,0.746568
0.534070,0.538930
0.541924,0.323950
0.549778,0.142171
0.557632,0.027873
0.565486,0.002613
0.573340,0.071153
0.581194,0.220568
0.589048,0.422681
0.596902,0.639374
0.604756,0.829784
0.612610,0.958001
0.620464,0.999844
0.628318,0.947424
0.636172,0.810625
0.644026,0.615247
0.651880,0.398134
0.659734,0.200232
0.667588,0.058862
