Ω (rad/s),|c₋|²
0.591331,0.570718
0.592669,0.537320
0.594007,0.503754
0.595344,0.470171
0.596682,0.436723
0.598020,0.403560
0.599358,0.370832
0.600696,0.338688
0.602034,0.307272
0.603372,0.276726
0.604709,0.247187
0.606047,0.218791
0.607385,0.191663
0.608723,0.165928
0.610061,0.141701
0.611399,0.119091
0.612736,0.098201
0.614074,0.079124
0.615412,0.061948
0.616750,0.046749
0.618088,0.033597
0.619426,0.022549
0.620764,0.013658
0.622101,0.006962
0.623439,0.002491
0.624777,0.000267
0.626115,0.000298
0.627453,0.002586
0.628791,0.007119
0.630129,0.013876
0.631466,0.022829
0.632804,0.033936
0.634142,0.047146
0.635480,0.062401
0.636818,0.079632
0.638156,0.098760
0.639494,0.119700
0.640831,0.142356
0.642169,0.166627
0.643507,0.192403
0.644845,0.219567
0.646183,0.247998
0.647521,0.277566
0.648859,0.308138
0.650196,0.339577
0.651534,0.371739
0.652872,0.404481
0.654210,0.437654
0.655548,0.471108
0.656886,0.504693
0.658223,0.538256
0.659561,0.571647
0.660899,0.604715
0.662237,0.637309
0.663575,0.669284
0.664913,0.700495
0.666251,0.730800
0.667588,0.760064
