Ω (rad/s),|c₋|²
0.000000,0.000000
0.001338,0.001129
0.002676,0.004509
0.004014,0.010127
0.005351,0.017956
0.006689,0.027961
0.008027,0.040097
0.009365,0.054309
0.010703,0.070534
0.012041,0.088697
0.013379,0.108717
0.014716,0.130503
0.016054,0.153957
0.017392,0.178974
0.018730,0.205440
0.020068,0.233235
0.021406,0.262235
0.022743,0.292308
0.024081,0.323319
0.025419,0.355127
0.026757,0.387590
0.028095,0.420559
0.029433,0.453888
0.030771,0.487424
0.032108,0.521018
0.033446,0.554516
0.034784,0.587769
0.036122,0.620625
0.037460,0.652937
0.038798,0.684558
0.040136,0.715346
0.041473,0.745162
0.042811,0.773871
0.044149,0.801344
0.045487,0.827456
0.046825,0.852090
0.048163,0.875135
0.049501,0.896486
0.050838,0.916047
0.052176,0.933730
0.053514,0.949456
0.054852,0.963152
0.056190,0.974757
0.057528,0.984219
0.058866,0.991495
0.060203,0.996552
0.061541,0.999367
0.062879,0.999929
0.064217,0.998233
0.065555,0.994288
0.066893,0.988112
0.068230,0.979732
0.069568,0.969187
0.070906,0.956523
0.072244,0.941798
0.073582,0.925079
0.074920,0.906442
0.076258,0.885969
0.077595,0.863754
0.078933,0.839896
0.080271,0.814505
0.081609,0.787693
0.082947,0.759583
0.084285,0.730301
0.085623,0.699979
0.086960,0.668754
0.088298,0.636768
0.089636,0.604164
0.090974,0.571090
0.092312,0.537695
0.093650,0.504130
0.094988,0.470546
0.096325,0.437095
0.097663,0.403928
0.099001,0.371195
0.100339,0.339043
0.101677,0.307618
0.103015,0.277062
0.104353,0.247511
0.105690,0.219101
0.107028,0.191959
0.108366,0.166207
0.109704,0.141963
0.111042,0.119334
0.112380,0.098424
0.113717,0.079327
0.115055,0.062129
0.116393,0.046908
0.117731,0.033732
0.119069,0.022661
0.120407,0.013745
0.121745,0.007024
0.123082,0.002529
0.124420,0.000279
0.125758,0.000285
0.127096,0.002548
0.128434,0.007056
0.129772,0.013789
0.131110,0.022717
0.132447,0.033800
0.133785,0.046987
0.135123,0.062220
0.136461,0.079429
0.137799,0.098536
0.139137,0.119456
0.140475,0.142094
0.141812,0.166347
0.143150,0.192107
0.144488,0.219256
0.145826,0.247674
0.147164,0.277230
0.148502,0.307792
0.149839,0.339221
0.151177,0.371376
0.152515,0.404112
0.153853,0.437281
0.155191,0.470733
0.156529,0.504317
0.157867,0.537882
0.159204,0.571276
0.160542,0.604348
0.161880,0.636948
0.163218,0.668931
0.164556,0.700151
0.165894,0.730467
0.167232,0.759743
0.168569,0.787847
0.169907,0.814650
0.171245,0.840034
0.172583,0.863882
0.173921,0.886088
0.175259,0.906551
0.176597,0.925178
0.177934,0.941886
0.179272,0.956600
0.180610,0.969251
0.181948,0.979785
0.183286,0.988153
0.184624,0.994316
0.185962,0.998249
0.187299,0.999932
0.188637,0.999358
0.189975,0.996530
0.191313,0.991460
0.192651,0.984172
0.193989,0.974698
0.195326,0.963081
0.196664,0.949373
0.198002,0.933637
0.199340,0.915943
0.200678,0.896372
0.202016,0.875011
0.203354,0.851957
0.204691,0.827314
0.206029,0.801194
0.207367,0.773714
0.208705,0.744998
0.210043,0.715176
0.211381,0.684383
0.212719,0.652758
0.214056,0.620443
0.215394,0.587584
0.216732,0.554330
0.218070,0.520830
0.219408,0.487237
0.220746,0.453701
0.222084,0.420374
0.223421,0.387407
0.224759,0.354947
0.226097,0.323143
0.227435,0.292137
0.228773,0.262070
0.230111,0.233076
0.231448,0.205288
0.232786,0.178830
0.234124,0.153822
0.235462,0.130377
0.236800,0.108600
0.238138,0.088590
0.239476,0.070438
0.240813,0.054224
0.242151,0.040023
0.243489,0.027899
0.244827,0.017906
0.246165,0.010089
0.247503,0.004484
0.248841,0.001116
0.250178,0.000000
0.251516,0.001141
0.252854,0.004534
0.254192,0.010164
0.255530,0.018006
0.256868,0.028023
0.258206,0.040171
0.259543,0.054395
0.260881,0.070630
0.262219,0.088804
0.263557,0.108834
0.264895,0.130629
0.266233,0.154093
0.267571,0.179118
0.268908,0.205591
0.270246,0.233394
0.271584,0.262400
0.272922,0.292479
0.274260,0.323494
0.275598,0.355307
0.276935,0.387772
0.278273,0.420745
0.279611,0.454075
0.280949,0.487612
0.282287,0.521205
0.283625,0.554703
0.284963,0.587954
0.286300,0.620807
0.287638,0.653115
0.288976,0.684732
0.290314,0.715515
0.291652,0.745325
0.292990,0.774028
0.294328,0.801494
0.295665,0.827598
0.297003,0.852224
0.298341,0.875259
0.299679,0.896600
0.301017,0.916152
0.302355,0.933824
0.303693,0.949538
0.305030,0.963222
0.306368,0.974816
0.307706,0.984265
0.309044,0.991529
0.310382,0.996574
0.311720,0.999377
0.313058,0.999925
0.314395,0.998217
0.315733,0.994260
0.317071,0.988071
0.318409,0.979679
0.319747,0.969122
0.321085,0.956446
0.322422,0.941711
0.323760,0.924981
0.325098,0.906332
0.326436,0.885849
0.327774,0.863625
0.329112,0.839759
0.330450,0.814359
0.331787,0.787539
0.333125,0.759422
0.334463,0.730134
0.335801,0.699807
0.337139,0.668577
0.338477,0.636587
0.339815,0.603980
0.341152,0.570904
0.342490,0.537508
0.343828,0.503942
0.345166,0.470358
0.346504,0.436909
0.347842,0.403744
0.349180,0.371014
0.350517,0.338866
0.351855,0.307445
0.353193,0.276894
0.354531,0.247349
0.355869,0.218946
0.357207,0.191811
0.358544,0.166068
0.359882,0.141832
0.361220,0.119212
0.362558,0.098312
0.363896,0.079226
0.365234,0.062039
0.366572,0.046828
0.367909,0.033664
0.369247,0.022605
0.370585,0.013701
0.371923,0.006993
0.373261,0.002510
0.374599,0.000273
0.375937,0.000292
0.377274,0.002567
0.378612,0.007087
0.379950,0.013833
0.381288,0.022773
0.382626,0.033868
0.383964,0.047067
0.385302,0.062310
0.386639,0.079530
0.387977,0.098648
0.389315,0.119578
0.390653,0.142225
0.391991,0.166487
0.393329,0.192255
0.394667,0.219412
0.396004,0.247836
0.397342,0.277398
0.398680,0.307965
0.400018,0.339399
0.401356,0.371558
0.402694,0.404297
0.404031,0.437468
0.405369,0.470921
0.406707,0.504505
0.408045,0.538069
0.409383,0.571461
0.410721,0.604531
0.412059,0.637129
0.413396,0.669108
0.414734,0.700323
0.416072,0.730634
0.417410,0.759904
0.418748,0.788000
0.420086,0.814796
0.421424,0.840172
0.422761,0.864011
0.424099,0.886207
0.425437,0.906660
0.426775,0.925277
0.428113,0.941974
0.429451,0.956676
0.430789,0.969316
0.432126,0.979838
0.433464,0.988193
0.434802,0.994345
0.436140,0.998264
0.437478,0.999935
0.438816,0.999348
0.440153,0.996508
0.441491,0.991426
0.442829,0.984125
0.444167,0.974639
0.445505,0.963010
0.446843,0.949291
0.448181,0.933544
0.449518,0.915839
0.450856,0.896257
0.452194,0.874887
0.453532,0.851824
0.454870,0.827172
0.456208,0.801044
0.457546,0.773557
0.458883,0.744835
0.460221,0.715007
0.461559,0.684209
0.462897,0.652579
0.464235,0.620261
0.465573,0.587399
0.466911,0.554143
0.468248,0.520643
0.469586,0.487049
0.470924,0.453514
0.472262,0.420189
0.473600,0.387224
0.474938,0.354768
0.476276,0.322968
0.477613,0.291967
0.478951,0.261905
0.480289,0.232918
0.481627,0.205136
0.482965,0.178686
0.484303,0.153686
0.485640,0.130250
0.486978,0.108483
0.488316,0.088483
0.489654,0.070342
0.490992,0.054139
0.492330,0.039950
0.493668,0.027837
0.495005,0.017856
0.496343,0.010052
0.497681,0.004459
0.499019,0.001104
0.500357,0.000000
0.501695,0.001154
0.503033,0.004560
0.504370,0.010202
0.505708,0.018056
0.507046,0.028085
0.508384,0.040245
0.509722,0.054480
0.511060,0.070726
0.512398,0.088910
0.513735,0.108951
0.515073,0.130756
0.516411,0.154228
0.517749,0.179262
0.519087,0.205743
0.520425,0.233553
0.521763,0.262565
0.523100,0.292650
0.524438,0.323670
0.525776,0.355487
0.527114,0.387955
0.528452,0.420930
0.529790,0.454262
0.531127,0.487800
0.532465,0.521393
0.533803,0.554890
0.535141,0.588138
0.536479,0.620989
0.537817,0.653294
0.539155,0.684907
0.540492,0.715685
0.541830,0.745489
0.543168,0.774185
0.544506,0.801643
0.545844,0.827740
0.547182,0.852357
0.548520,0.875383
0.549857,0.896715
0.551195,0.916256
0.552533,0.933917
0.553871,0.949620
0.555209,0.963293
0.556547,0.974874
0.557885,0.984312
0.559222,0.991563
0.560560,0.996596
0.561898,0.999386
0.563236,0.999922
0.564574,0.998201
0.565912,0.994231
0.567249,0.988030
0.568587,0.979626
0.569925,0.969057
0.571263,0.956370
0.572601,0.941623
0.573939,0.924882
0.575277,0.906223
0.576614,0.885730
0.577952,0.863496
0.579290,0.839621
0.580628,0.814213
0.581966,0.787386
0.583304,0.759262
0.584642,0.729967
0.585979,0.699635
0.587317,0.668401
0.588655,0.636407
0.589993,0.603797
